Product_ID INT,Product_Name VARCHAR(255),Category VARCHAR(50),"Price DECIMAL(10,2)",Stock_Quantity INT,Manufacturer VARCHAR(255),Description TEXT,"Weight DECIMAL(5, 2)","Shipping_Cost DECIMAL(6, 2)",In_Stock VARCHAR(3)
101,Smartphone,Electronics,499.99,1000,Apple,"iPhone 12 Pro, 128GB",0.4,10.00,Yes
102,Laptop,Electronics,899.99,500,HP,"HP Spectre x360, 13.3",1.2,20.00,Yes
103,Television,Electronics,799.99,300,Samsung,"Samsung 55-Inch 4K TV",38.0,25.00,Yes
104,Refrigerator,Appliances,699.99,200,Whirlpool,"Whirlpool French Door, 25 cu ft",85.0,50.00,Yes
105,Tablet,Electronics,299.99,800,Amazon,Amazon Fire HD 10,0.5,12.00,Yes
106,Chair,Furniture,49.99,1000,Ikea,Ikea POÄNG Chair,18.0,8.00,Yes
107,Headphones,Electronics,79.99,600,Sony,Sony WH-1000XM4,0.6,15.00,Yes
108,Toaster,Appliances,29.99,1000,Black & Decker,Black & Decker 2-Slice Toaster,3.0,5.00,Yes
109,Camera,Electronics,699.99,400,Canon,"Canon EOS Rebel T7i,24.2MP",1.3,18.00,Yes
110,Desk,Furniture,199.99,300,Office Depot,Office Depot Writing Desk,23.5,20.00,Yes
111,Washing Machine,Appliances,799.99,150,LG,"LG Front Load Washer,4.5 cu ft",150.0,60.00,Yes
112,Microwave,Appliances,59.99,800,Panasonic,Panasonic Countertop Microwave,0.9,10.00,Yes
113,Blender,Appliances,39.99,500,Hamilton Beach,Hamilton Beach Personal Blender,2.2,8.00,Yes
114,Book,Books,12.99,2000,Penguin Random House,The Great Gatsby,1.0,5.00,Yes
115,Desk Lamp,Home Decor,19.99,1000,Target,Target Desk Lamp,1.5,6.00,Yes
116,Tennis Racket,Sports & Outdoors,59.99,300,Wilson,Wilson Pro Staff 97L Tennis Racket,0.3,12.00,Yes
117,Running Shoes,Sports & Outdoors,89.99,400,Nike,Nike Air Zoom Pegasus 38,0.8,15.00,Yes
118,Coffee Maker,Appliances,69.99,400,Keurig,Keurig K-Elite Single Serve Coffee Maker,8.0,10.00,Yes
119,Sofa,Furniture,499.99,2000,Ashley Furniture,Ashley Furniture Signature Design Sofa,110.0,75.00,Yes
120,Backpack,Travel & Accessories,39.99,800,The North Face,The North Face Jester Backpack,2.0,8.00,Yes
